weight,length,height
242,30,11.52
290,31.2,12.48
340,31.1,12.3778
363,33.5,12.73
430,34,12.444
450,34.7,13.6024
500,34.5,14.1795
390,35,12.67
450,35.1,14.0049
500,36.2,14.2266
475,36.2,14.2628
500,36.2,14.3714
500,36.4,13.7592
340,37.3,13.9129
600,37.2,14.9544
600,37.2,15.438
700,38.3,14.8604
700,38.5,14.938
610,38.6,15.633
650,38.7,14.4738
575,39.5,15.1285
685,39.2,15.9936
620,39.7,15.5227
680,40.6,15.4686
700,40.5,16.2405
725,40.9,16.36
720,40.6,16.3618
714,41.5,16.517
850,41.6,16.8896
1000,42.6,18.957
920,44.1,18.0369
955,44,18.084
925,45.3,18.7542
975,45.9,18.6354
950,46.5,17.6235
40,16.2,4.1472
69,20.3,5.2983
78,21.2,5.5756
87,22.2,5.6166
120,22.2,6.216
0,22.8,6.4752
110,23.1,6.1677
120,23.7,6.1146
150,24.7,5.8045
145,24.3,6.6339
160,25.3,7.0334
140,25,6.55
160,25,6.4
169,27.2,7.5344
161,26.7,6.9153
200,26.8,7.3968
180,27.9,7.0866
290,29.2,8.8768
272,30.6,8.568
390,35,9.485
270,28.7,8.3804
270,29.3,8.1454
306,30.8,8.778
540,34,10.744
800,39.6,11.7612
1000,43.5,12.354
55,16.5,6.8475
60,17.4,6.5772
90,19.8,7.4052
120,21.3,8.3922
150,22.4,8.8928
140,23.2,8.5376
170,23.2,9.396
145,24.1,9.7364
200,25.8,10.3458
273,28,11.088
300,29,11.368
5.9,8.8,2.112
32,14.7,3.528
40,16,3.824
51.5,17.2,4.5924
70,18.5,4.588
100,19.2,5.2224
78,19.4,5.1992
80,20.2,5.6358
85,20.8,5.1376
85,21,5.082
110,22.5,5.6925
115,22.5,5.9175
125,22.5,5.6925
130,22.8,6.384
120,23.5,6.11
120,23.5,5.64
130,23.5,6.11
135,23.5,5.875
110,23.5,5.5225
130,24,5.856
150,24,6.792
145,24.2,5.9532
150,24.5,5.2185
170,25,6.275
225,25.5,7.293
145,25.5,6.375
188,26.2,6.7334
180,26.5,6.4395
197,27,6.561
218,28,7.168
300,28.7,8.323
260,28.9,7.1672
265,28.9,7.0516
250,28.9,7.2828
250,29.4,7.8204
300,30.1,7.5852
320,31.6,7.6156
514,34,10.03
556,36.5,10.2565
840,37.3,11.4884
685,39,10.881
700,38.3,10.6091
700,39.4,10.835
690,39.3,10.5717
900,41.4,11.1366
650,41.4,11.1366
820,41.3,12.4313
850,42.3,11.9286
900,42.5,11.73
1015,42.4,12.3808
820,42.5,11.135
1100,44.6,12.8002
1000,45.2,11.9328
1100,45.5,12.5125
1000,46,12.604
1000,46.6,12.4888
200,34.8,5.568
300,37.8,5.7078
300,38.8,5.9364
300,39.8,6.2884
430,40.5,7.29
345,41,6.396
456,45.5,7.28
510,45.5,6.825
540,45.8,7.786
500,48,6.96
567,48.7,7.792
770,51.2,7.68
950,55.1,8.9262
1250,59.7,10.6863
1600,64,9.6
1550,64,9.6
1650,68,10.812
6.7,10.8,1.7388
7.5,11.6,1.972
7,11.6,1.7284
9.7,12,2.196
9.8,12.4,2.0832
8.7,12.6,1.9782
10,13.1,2.2139
9.9,13.1,2.2139
9.8,13.2,2.2044
12.2,13.4,2.0904
13.4,13.5,2.43
12.2,13.8,2.277
19.7,15.2,2.8728
19.9,16.2,2.9322
