자치구,남자(한),여자(한),남자(외),여자(외)
종로구,73704,77513,4567,6200
중구,61839,64336,4930,5364
용산구,110667,118912,9294,7292
성동구,146300,152742,3591,4560
광진구,169568,180849,6658,8915
동대문구,171896,174260,6306,10331
중랑구,196076,199543,2046,3013
성북구,213926,228568,4635,7403
강북구,152747,160238,1394,2371
도봉구,161879,169359,895,1362
노원구,256726,274311,1970,2488
은평구,230147,247872,1806,2684
서대문구,150051,162591,4451,8782
마포구,176943,197627,4261,7255
양천구,224241,232098,1868,2325
강서구,285085,304217,3049,3352
구로구,200558,205279,18412,14059
금천구,118044,114539,10599,8188
영등포구,184316,187587,18301,14562
동작구,191272,203742,5671,7117
관악구,250743,248631,8239,9049
서초구,205787,224781,2090,2143
강남구,260654,284150,2509,2585
송파구,325859,348236,3199,3589
강동구,223189,229457,2037,2359
