year,household,older_65
1981,1915,246
1982,2001,260
1983,2116,260
1984,2246,275
1985,2338,211
1986,2428,305
1987,2518,329
1988,2658,349
1989,2817,363
1990,2820,363
1991,3330,424
1992,3383,434
1993,3431,445
1994,3456,454
1995,3448,460
1996,3457,469
1997,3499,485
1998,3459,505
1999,3491,530
2000,3540,560
2001,3570,586
2002,3624,613
2003,3715,650
2004,3780,693
2005,3871,736
2006,3979,787
2007,4046,852
2008,4098,899
2009,4117,943
2010,4224,1008
2011,4193,1049
2012,4178,1111
2013,4182,1167
2014,4194,1222
2015,4190,1268
2016,4190,1301
2017,4220,1365
2018,4264,1416
2019,4328,1485
2020,4418,1568
