기간,세대,전체인구,남자,여자,한국인,한국인남자,한국인여자,외국인,외국인남자,외국인여자,인구밀도,세대당인구,65세이상
1960년,446874,2445402,1222695,1222707,2436630,1218002,1218628,8772,4693,4079,9112.73,5.47,54354
1961년,486697,2584952,1274256,1310696,2436630,1218002,1218628,8772,4693,4079,9632.76,5.31,94053
1962년,554136,2983324,1477421,1505903,2436630,1218002,1218628,8772,4693,4079,5001.38,5.38,105009
1963년,597132,3254630,1608513,1646117,2436630,1218002,1218628,8772,4693,4079,5309,5.45,115075
1964년,633026,3424385,1692106,1732279,2436630,1218002,1218628,8772,4693,4079,5585.91,5.41,125379
1965년,649290,3470880,1708423,1762457,3460800,1702927,1757873,10080,5496,4584,5661.75,5.35,130792
1966년,725130,3793280,1894739,1898541,3460800,1702927,1757873,10080,5496,4584,6187.65,5.23,72427
1967년,754261,3969218,1951732,2017486,3460800,1702927,1757873,10080,5496,4584,6474.65,5.26,148499
1968년,837362,4334973,2140083,2194890,3460800,1702927,1757873,10080,5496,4584,7071.27,5.18,89495
1969년,961491,4776928,2140083,2194890,3460800,1702927,1757873,10080,5496,4584,7792.2,4.97,89495
1970년,1096871,5433198,2666129,2767069,5422735,2660533,2762202,10463,5596,4867,8862.71,4.95,100176
1971년,1151078,5850925,2914059,2936866,5422735,2660533,2762202,10463,5596,4867,9544.12,5.08,100176
1972년,1182655,6076143,3020029,3056114,5422735,2660533,2762202,10463,5596,4867,9911.5,5.14,100176
1973년,1215538,6289556,3095992,3193564,5422735,2660533,2762202,10463,5596,4867,10030.23,5.17,100176
1974년,1273678,6541500,3220575,3320925,5422735,2660533,2762202,10463,5596,4867,10432.02,5.14,151289
1975년,1409577,6889502,3432182,3457320,6879464,3425991,3453473,10038,6191,3847,10986.99,4.89,144977
1976년,1461009,7254958,3580754,3674204,6879464,3425991,3453473,10038,6191,3847,11933.09,4.97,144977
1977년,1529323,7525629,3725972,3799657,6879464,3425991,3453473,10038,6191,3847,12312.07,4.92,144977
1978년,1609121,7823195,3894433,3928762,6879464,3425991,3453473,10038,6191,3847,12885.11,4.86,144977
1979년,1713193,8114021,4038173,4075848,6879464,3425991,3453473,10038,6191,3847,13361.25,4.74,144977
1980년,1849324,8364379,4168875,4195504,8350616,4160059,4190557,13763,8816,4947,13774,4.52,207953
1981년,1915104,8676037,4288804,4387233,8666695,4160059,4190557,9342,8816,4947,14334,4.53,246469
1982년,2000678,8916481,4412300,4504181,8907568,4160059,4190557,8913,8816,4947,14730,4.46,260128
1983년,2116334,9204344,4607351,4596993,9195207,4160059,4190557,9137,8816,4947,15206,4.35,260200
1984년,2245598,9501413,4759713,4741700,9491503,4160059,4190557,9910,8816,4947,15695,4.23,275165
1985년,2337564,9639110,4795086,4844024,9625755,4787720,4838035,13355,7366,5989,15921,4.12,211283
1986년,2428173,9798542,4905220,4893322,9786536,4898547,4887989,12006,6673,5333,16185,4.04,304923
1987년,2518128,9991089,5006777,4984312,9979577,5000452,4979125,11512,6325,5187,16503,3.97,329370
1988년,2658371,10286503,5161685,5124818,10276308,5156205,5120103,10195,5480,4715,16990,3.87,348543
1989년,2816510,10576794,5310907,5265887,10566447,5305294,5261153,10347,5613,4734,17470,3.76,362507
1990년,2820292,10612577,5326341,5286236,10603250,5321357,5281893,9327,4984,4343,17532,3.76,362653
1991년,3330317,10904527,5485353,5419174,10873055,5467737,5405318,31472,17616,13856,18014,3.27,424332
1992년,3383169,10969862,5519096,5450766,10935230,5500001,5435229,34632,19095,15537,18121,3.24,434348
1993년,3430528,10925464,5496638,5428826,10889499,5477845,5411654,35965,18793,17172,18047,3.18,445236
1994년,3455665,10798700,5429554,5369146,10759454,5408827,5350627,39246,20727,18519,17836,3.12,454007
1995년,3448124,10595943,5326022,5269921,10550871,5302277,5248594,45072,23745,21327,17491,3.07,460144
1996년,3456575,10469852,5258247,5211605,10418076,5231039,5187037,51776,27208,24568,17289,3.03,469079
1997년,3498506,10389057,5214266,5174791,10336134,5186530,5149604,52923,27736,25187,17157,2.97,485347
1998년,3458511,10321496,5173556,5147940,10270506,5146825,5123681,50990,26731,24259,17046,2.98,505438
1999년,3490616,10321449,5170662,5150787,10264260,5141141,5123119,57189,29521,27668,17046,2.96,530190
2000년,3540492,10373234,5198186,5175048,10311314,5166605,5144709,61920,31581,30339,17132,2.93,560446
2001년,3570228,10331244,5175786,5155458,10263336,5141741,5121595,67908,34045,33863,17062,2.89,585897
2002년,3623929,10280523,5144833,5135690,10207295,5108964,5098331,73228,35869,37359,16978,2.84,612783
2003년,3714697,10276968,5133694,5143274,10174086,5084908,5089178,102882,48786,54096,16975,2.77,649755
2004년,3780305,10287847,5128752,5159095,10173162,5074686,5098476,114685,54066,60619,16993.72,2.72,693225
2005년,3871024,10297004,5123738,5173266,10167344,5062492,5104852,129660,61246,68414,17008.69,2.66,735902
2006년,3978938,10356202,5145481,5210721,10181166,5062107,5119059,175036,83374,91662,17108.46,2.6,786580
2007년,4046086,10421782,5174655,5247127,10192710,5063188,5129522,229072,111467,117605,17219,2.58,852235
2008년,4097562,10456034,5184732,5271302,10200827,5061809,5139018,255207,122923,132284,17274.99,2.49,898700
2009년,4116660,10464051,5181359,5282692,10208302,5059269,5149033,255749,122090,133659,17288.7,2.48,942946
2010년,4224181,10575447,5236742,5338705,10312545,5111259,5201286,262902,125483,137419,17472.85,2.44,1007572
2011년,4192752,10528774,5208492,5320282,10249679,5073899,5175780,279095,134593,144502,17396.96,2.44,1049425
2012년,4177970,10442426,5159665,5282761,10195318,5041336,5153982,247108,118329,128779,17255.15,2.44,1110995
2013년,4182351,10388055,5126351,5261704,10143645,5007869,5135776,244410,118482,125928,17164.55,2.43,1167177
2014년,4194176,10369593,5109013,5260580,10103233,4979768,5123465,266360,129245,137115,17133.88,2.41,1221616
2015년,4189948,10297138,5063550,5233588,10022181,4930943,5091238,274957,132607,142350,17013.01,2.39,1267563
2016년,4189839,10204057,5007379,5196678,9930616,4876789,5053827,273441,130590,142851,16861,2.37,1300877
2017년,4220082,10124579,4957857,5166722,9857426,4830206,5027220,267153,127651,139502,16728.13,2.34,1365126
2018년,4263868,10049607,4910849,5138758,9765623,4773899,4991724,283984,136950,147034,16604.36,2.29,1416131
2019년,4327605,10010983,4877725,5133258,9729107,4744059,4985048,281876,133666,148210,16540.6,2.25,1485272
